8.797766032402501990e-01,8.799247832883895226e-01,8.800082671049098693e-01,8.800694194055582731e-01,8.801331158420568901e-01,8.801895797410593802e-01,8.802007682433650171e-01,8.801590121973619230e-01,8.801422190896990294e-01,8.800877614494628798e-01,8.799951141762121232e-01
8.796931745600543584e-01,8.798118068278981685e-01,8.799208728598684193e-01,8.800370051805475047e-01,8.800496639600932092e-01,8.800893498265824899e-01,8.800735241094106431e-01,8.800526263010124417e-01,8.800220889230511156e-01,8.799879832557886417e-01,nan
8.795746766248311310e-01,8.797004038111486679e-01,8.797845157565453711e-01,8.798950636256666069e-01,8.799143193650147410e-01,8.799376472136289928e-01,8.799202800630590016e-01,8.798891645924933336e-01,8.798444974667876117e-01,nan,nan
8.794622663361368886e-01,8.795630999480278378e-01,8.796649942888287166e-01,8.797580771110393716e-01,8.797743023419395403e-01,8.797426736010556247e-01,8.797467349636141076e-01,8.797054852065739894e-01,nan,nan,nan
8.793382070787070237e-01,8.794099828219917869e-01,8.794613693740735982e-01,8.795198308474627691e-01,8.795431756037515036e-01,8.795477188261149326e-01,8.795385289939583462e-01,nan,nan,nan,nan
8.791056635850806877e-01,8.791672410947511951e-01,8.791962798658072842e-01,8.792690110003394954e-01,8.792847099585823223e-01,8.792673284549266111e-01,nan,nan,nan,nan,nan
8.787890673178911927e-01,8.788735451387706954e-01,8.788434715603702374e-01,8.789050878206684514e-01,8.789722771837791271e-01,nan,nan,nan,nan,nan,nan
8.783757900444477684e-01,8.784200184207436868e-01,8.785003792259105104e-01,8.785808471383262930e-01,nan,nan,nan,nan,nan,nan,nan
8.779135236503898820e-01,8.780356640432153137e-01,8.781074931382082394e-01,nan,nan,nan,nan,nan,nan,nan,nan
8.774467280660336321e-01,8.775143977616027824e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.768705387454273081e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
